DATE,VISITOR,VISITOR_PTS,HOME,HOME_PTS,HOME_WIN,WINNING_TEAM,HOME_CUM_WIN_PCT,AWAY_CUM_WIN_PCT,HOME_ROLL_WIN_PCT,AWAY_ROLL_WIN_PCT
2013-02-06,Charlotte Hornets,95,Cleveland Cavaliers,122,True,Cleveland Cavaliers,0.2916666666666667,0.23404255319148937,0.6,0.2
2013-02-06,Los Angeles Clippers,86,Orlando Magic,76,False,Los Angeles Clippers,0.2916666666666667,0.68,0.0,0.4
2013-02-06,Indiana Pacers,88,Philadelphia 76ers,69,False,Indiana Pacers,0.44680851063829785,0.6122448979591837,0.8,0.8
2013-02-06,Boston Celtics,99,Toronto Raptors,95,False,Boston Celtics,0.3541666666666667,0.5106382978723404,0.2,0.8
2013-02-06,New York Knicks,96,Washington Wizards,106,True,Washington Wizards,0.2553191489361702,0.6739130434782609,0.2,1.0
2013-02-06,Memphis Grizzlies,92,Atlanta Hawks,103,True,Atlanta Hawks,0.5531914893617021,0.6382978723404256,0.4,0.4
2013-02-06,Brooklyn Nets,93,Detroit Pistons,90,False,Brooklyn Nets,0.3673469387755102,0.5833333333333334,0.2,0.4
2013-02-06,Houston Rockets,108,Miami Heat,114,True,Miami Heat,0.6888888888888889,0.54,0.6,0.8
2013-02-06,Phoenix Suns,84,New Orleans Pelicans,93,True,New Orleans Pelicans,0.3125,0.3469387755102041,0.2,0.4
2013-02-06,Golden State Warriors,98,Oklahoma City Thunder,119,True,Oklahoma City Thunder,0.75,0.625,0.6,0.8
2013-02-06,Portland Trail Blazers,99,Dallas Mavericks,105,True,Dallas Mavericks,0.4166666666666667,0.5208333333333334,0.4,0.6
2013-02-06,San Antonio Spurs,104,Minnesota Timberwolves,94,False,San Antonio Spurs,0.4,0.7755102040816326,0.2,1.0
2013-02-06,Milwaukee Bucks,86,Utah Jazz,100,True,Utah Jazz,0.5510204081632653,0.5319148936170213,0.6,0.4
2013-02-07,Los Angeles Lakers,95,Boston Celtics,116,True,Boston Celtics,0.5208333333333334,0.46938775510204084,1.0,0.8
2013-02-07,Chicago Bulls,96,Denver Nuggets,128,True,Denver Nuggets,0.6326530612244898,0.6041666666666666,1.0,0.6
2013-02-08,Los Angeles Lakers,100,Charlotte Hornets,93,False,Los Angeles Lakers,0.22916666666666666,0.46,0.0,0.6
2013-02-08,Toronto Raptors,100,Indiana Pacers,98,False,Toronto Raptors,0.62,0.3469387755102041,1.0,0.2
2013-02-08,Brooklyn Nets,74,Washington Wizards,89,True,Washington Wizards,0.2708333333333333,0.5918367346938775,0.4,0.6
2013-02-08,New Orleans Pelicans,111,Atlanta Hawks,100,False,New Orleans Pelicans,0.5625,0.32653061224489793,0.4,0.2
2013-02-08,Orlando Magic,108,Cleveland Cavaliers,119,True,Cleveland Cavaliers,0.30612244897959184,0.2857142857142857,0.6,0.0
2013-02-08,San Antonio Spurs,109,Detroit Pistons,119,True,Detroit Pistons,0.36,0.78,0.2,1.0
2013-02-08,Portland Trail Blazers,103,Houston Rockets,118,True,Houston Rockets,0.5294117647058824,0.5102040816326531,0.6,0.6
