index,DATE,VISITOR,VISITOR_PTS,HOME,HOME_PTS,HOME_WIN,WINNING_TEAM,HOME_CUM_WIN_PCT,AWAY_CUM_WIN_PCT,HOME_ROLL_WIN_PCT,AWAY_ROLL_WIN_PCT
1000,2020-03-06,Indiana Pacers,108,Chicago Bulls,102,False,Indiana Pacers,0.3387096774193548,0.5967741935483871,0.4,0.8
1001,2020-03-06,Orlando Magic,132,Minnesota Timberwolves,118,False,Orlando Magic,0.3114754098360656,0.43548387096774194,0.6,0.4
1002,2020-03-06,Miami Heat,104,New Orleans Pelicans,110,True,New Orleans Pelicans,0.41935483870967744,0.6451612903225806,0.2,0.8
1003,2020-03-06,Utah Jazz,99,Boston Celtics,94,False,Utah Jazz,0.6885245901639344,0.639344262295082,0.6,0.6
1004,2020-03-06,Portland Trail Blazers,117,Phoenix Suns,127,True,Phoenix Suns,0.3870967741935484,0.4444444444444444,0.2,0.4
1005,2020-03-06,Milwaukee Bucks,103,Los Angeles Lakers,113,True,Los Angeles Lakers,0.7833333333333333,0.8548387096774194,0.8,0.8
1006,2020-03-07,Philadelphia 76ers,114,Golden State Warriors,118,True,Golden State Warriors,0.2222222222222222,0.6031746031746031,0.4,0.4
1007,2020-03-07,Atlanta Hawks,101,Memphis Grizzlies,118,True,Memphis Grizzlies,0.49206349206349204,0.296875,0.6,0.4
1008,2020-03-07,Sacramento Kings,123,Portland Trail Blazers,111,False,Sacramento Kings,0.4375,0.43548387096774194,0.4,0.6
1009,2020-03-07,Utah Jazz,111,Detroit Pistons,105,False,Utah Jazz,0.31746031746031744,0.6451612903225806,0.2,0.8
1010,2020-03-07,Houston Rockets,99,Charlotte Hornets,108,True,Charlotte Hornets,0.3387096774193548,0.639344262295082,0.4,0.6
1011,2020-03-07,Denver Nuggets,102,Cleveland Cavaliers,104,True,Cleveland Cavaliers,0.27419354838709675,0.6774193548387096,0.2,0.6
1012,2020-03-08,Toronto Raptors,118,Sacramento Kings,113,False,Toronto Raptors,0.4444444444444444,0.7096774193548387,0.8,0.4
1013,2020-03-08,San Antonio Spurs,129,Cleveland Cavaliers,132,True,Cleveland Cavaliers,0.2857142857142857,0.4262295081967213,0.2,0.4
1014,2020-03-08,Detroit Pistons,84,New York Knicks,96,True,New York Knicks,0.30158730158730157,0.3125,0.4,0.2
1015,2020-03-08,Orlando Magic,126,Houston Rockets,106,False,Orlando Magic,0.6290322580645161,0.4444444444444444,0.4,0.4
1016,2020-03-08,Indiana Pacers,112,Dallas Mavericks,109,False,Indiana Pacers,0.609375,0.6031746031746031,0.6,0.8
1017,2020-03-08,Miami Heat,100,Washington Wizards,89,False,Miami Heat,0.3709677419354839,0.6349206349206349,0.4,0.8
1018,2020-03-08,Oklahoma City Thunder,105,Boston Celtics,104,False,Oklahoma City Thunder,0.6774193548387096,0.6190476190476191,0.4,0.6
1019,2020-03-08,Los Angeles Lakers,112,Los Angeles Clippers,103,False,Los Angeles Lakers,0.6935483870967742,0.7868852459016393,1.0,0.8
1020,2020-03-08,New Orleans Pelicans,120,Minnesota Timberwolves,107,False,New Orleans Pelicans,0.3064516129032258,0.42857142857142855,0.4,0.4
1021,2020-03-08,Chicago Bulls,107,Brooklyn Nets,110,True,Brooklyn Nets,0.45161290322580644,0.3333333333333333,0.4,0.2
1022,2020-03-08,Milwaukee Bucks,131,Phoenix Suns,140,True,Phoenix Suns,0.3968253968253968,0.8412698412698413,0.2,0.6
1023,2020-03-09,Toronto Raptors,101,Utah Jazz,92,False,Toronto Raptors,0.6507936507936508,0.7142857142857143,1.0,0.6
1024,2020-03-09,Charlotte Hornets,138,Atlanta Hawks,143,True,Atlanta Hawks,0.2923076923076923,0.3492063492063492,0.4,0.4
1025,2020-03-09,Milwaukee Bucks,95,Denver Nuggets,109,True,Denver Nuggets,0.6666666666666666,0.828125,0.4,0.4
1026,2020-03-10,Los Angeles Clippers,131,Golden State Warriors,107,False,Los Angeles Clippers,0.234375,0.6825396825396826,0.6,0.8
1027,2020-03-10,New York Knicks,115,Washington Wizards,122,True,Washington Wizards,0.36507936507936506,0.3125,0.4,0.6
1028,2020-03-10,Minnesota Timberwolves,111,Houston Rockets,117,True,Houston Rockets,0.6190476190476191,0.30158730158730157,0.2,0.4
1029,2020-03-10,Dallas Mavericks,109,San Antonio Spurs,119,True,San Antonio Spurs,0.41935483870967744,0.6,0.4,0.6
1030,2020-03-10,Orlando Magic,120,Memphis Grizzlies,115,False,Orlando Magic,0.5,0.453125,0.8,0.4
1031,2020-03-10,Cleveland Cavaliers,103,Chicago Bulls,108,True,Chicago Bulls,0.328125,0.296875,0.2,0.4
1032,2020-03-10,Phoenix Suns,105,Portland Trail Blazers,121,True,Portland Trail Blazers,0.4307692307692308,0.40625,0.4,0.4
1033,2020-03-10,Brooklyn Nets,104,Los Angeles Lakers,102,False,Brooklyn Nets,0.7903225806451613,0.4603174603174603,0.8,0.6
1034,2020-03-10,Boston Celtics,114,Indiana Pacers,111,False,Boston Celtics,0.609375,0.6666666666666666,0.8,0.2
1035,2020-03-11,New York Knicks,136,Atlanta Hawks,131,False,New York Knicks,0.30303030303030304,0.3076923076923077,0.4,0.4
1036,2020-03-11,Charlotte Hornets,109,Miami Heat,98,False,Charlotte Hornets,0.640625,0.34375,0.8,0.2
1037,2020-03-11,Denver Nuggets,97,Dallas Mavericks,113,True,Dallas Mavericks,0.5909090909090909,0.671875,0.4,0.6
1038,2020-03-11,Detroit Pistons,106,Philadelphia 76ers,124,True,Philadelphia 76ers,0.59375,0.3076923076923077,0.4,0.2
1039,2020-07-30,Utah Jazz,106,New Orleans Pelicans,104,False,Utah Jazz,0.4375,0.640625,0.4,0.8
1040,2020-07-30,Los Angeles Clippers,101,Los Angeles Lakers,103,True,Los Angeles Lakers,0.7777777777777778,0.6875,0.8,0.8
1041,2020-07-31,Phoenix Suns,125,Washington Wizards,112,False,Phoenix Suns,0.375,0.4,0.4,0.4
1042,2020-07-31,Orlando Magic,128,Brooklyn Nets,118,False,Orlando Magic,0.46875,0.46153846153846156,0.8,0.6
1043,2020-07-31,Memphis Grizzlies,135,Portland Trail Blazers,140,True,Portland Trail Blazers,0.4393939393939394,0.49230769230769234,0.6,0.6
1044,2020-07-31,Boston Celtics,112,Milwaukee Bucks,119,True,Milwaukee Bucks,0.8153846153846154,0.671875,0.2,0.4
1045,2020-07-31,Sacramento Kings,120,San Antonio Spurs,129,True,San Antonio Spurs,0.42857142857142855,0.4375,0.4,0.6
1046,2020-07-31,Houston Rockets,153,Dallas Mavericks,149,False,Houston Rockets,0.5970149253731343,0.625,0.6,0.2
1047,2020-08-01,New Orleans Pelicans,103,Los Angeles Clippers,126,True,Los Angeles Clippers,0.676923076923077,0.4307692307692308,0.6,0.4
1048,2020-08-01,Utah Jazz,94,Oklahoma City Thunder,110,True,Oklahoma City Thunder,0.625,0.6461538461538462,0.6,0.8
1049,2020-08-01,Philadelphia 76ers,121,Indiana Pacers,127,True,Indiana Pacers,0.6,0.6,0.6,0.4
1050,2020-08-01,Los Angeles Lakers,92,Toronto Raptors,107,True,Toronto Raptors,0.71875,0.78125,0.8,0.8
1051,2020-08-01,Miami Heat,125,Denver Nuggets,105,False,Miami Heat,0.6615384615384615,0.6307692307692307,0.4,0.6
1052,2020-08-02,San Antonio Spurs,108,Memphis Grizzlies,106,False,San Antonio Spurs,0.48484848484848486,0.4375,0.4,0.6
1053,2020-08-02,Sacramento Kings,116,Orlando Magic,132,True,Orlando Magic,0.4696969696969697,0.4307692307692308,0.8,0.4
1054,2020-08-02,Washington Wizards,110,Brooklyn Nets,118,True,Brooklyn Nets,0.46153846153846156,0.36923076923076925,0.6,0.4
1055,2020-08-02,Milwaukee Bucks,116,Houston Rockets,120,True,Houston Rockets,0.6307692307692307,0.8181818181818182,0.4,0.4
1056,2020-08-02,Dallas Mavericks,115,Phoenix Suns,117,True,Phoenix Suns,0.4090909090909091,0.5882352941176471,0.6,0.4
1057,2020-08-02,Portland Trail Blazers,124,Boston Celtics,128,True,Boston Celtics,0.6615384615384615,0.44776119402985076,0.4,0.6
1058,2020-08-03,Toronto Raptors,107,Miami Heat,103,False,Toronto Raptors,0.6363636363636364,0.7230769230769231,0.6,1.0
1059,2020-08-03,Indiana Pacers,111,Washington Wizards,100,False,Indiana Pacers,0.36363636363636365,0.6060606060606061,0.4,0.6
1060,2020-08-03,Denver Nuggets,121,Oklahoma City Thunder,113,False,Denver Nuggets,0.6307692307692307,0.6515151515151515,0.8,0.4
1061,2020-08-03,Memphis Grizzlies,99,New Orleans Pelicans,109,True,New Orleans Pelicans,0.42424242424242425,0.47761194029850745,0.4,0.2
1062,2020-08-03,San Antonio Spurs,130,Philadelphia 76ers,132,True,Philadelphia 76ers,0.5909090909090909,0.4461538461538462,0.4,0.6
1063,2020-08-03,Los Angeles Lakers,116,Utah Jazz,108,False,Los Angeles Lakers,0.6363636363636364,0.7692307692307693,0.6,0.6
1064,2020-08-04,Boston Celtics,106,Miami Heat,112,True,Miami Heat,0.6268656716417911,0.6666666666666666,0.4,0.4
1065,2020-08-04,Brooklyn Nets,119,Milwaukee Bucks,116,False,Brooklyn Nets,0.8059701492537313,0.4696969696969697,0.2,0.8
1066,2020-08-04,Dallas Mavericks,114,Sacramento Kings,110,False,Dallas Mavericks,0.42424242424242425,0.5797101449275363,0.2,0.2
1067,2020-08-04,Phoenix Suns,117,Los Angeles Clippers,115,False,Phoenix Suns,0.6818181818181818,0.417910447761194,0.6,0.8
1068,2020-08-04,Orlando Magic,109,Indiana Pacers,120,True,Indiana Pacers,0.6119402985074627,0.47761194029850745,0.8,1.0
1069,2020-08-04,Houston Rockets,102,Portland Trail Blazers,110,True,Portland Trail Blazers,0.4411764705882353,0.6363636363636364,0.4,0.6
1070,2020-08-05,Brooklyn Nets,115,Boston Celtics,149,True,Boston Celtics,0.6567164179104478,0.47761194029850745,0.4,0.8
1071,2020-08-05,Oklahoma City Thunder,105,Los Angeles Lakers,86,False,Oklahoma City Thunder,0.7727272727272727,0.6212121212121212,0.6,0.8
1072,2020-08-05,Denver Nuggets,132,San Antonio Spurs,126,False,Denver Nuggets,0.4393939393939394,0.6567164179104478,0.6,0.4
1073,2020-08-05,Toronto Raptors,109,Orlando Magic,99,False,Toronto Raptors,0.47058823529411764,0.7272727272727273,0.8,1.0
1074,2020-08-05,Memphis Grizzlies,115,Utah Jazz,124,True,Utah Jazz,0.6268656716417911,0.47058823529411764,0.4,0.2
1075,2020-08-05,Philadelphia 76ers,107,Washington Wizards,98,False,Philadelphia 76ers,0.3582089552238806,0.5970149253731343,0.2,0.6
1076,2020-08-06,Los Angeles Lakers,97,Houston Rockets,113,True,Houston Rockets,0.6268656716417911,0.7611940298507462,0.6,0.4
1077,2020-08-06,Los Angeles Clippers,126,Dallas Mavericks,111,False,Los Angeles Clippers,0.5857142857142857,0.6716417910447762,0.4,0.4
1078,2020-08-06,Indiana Pacers,99,Phoenix Suns,114,True,Phoenix Suns,0.4264705882352941,0.6176470588235294,0.8,0.8
1079,2020-08-06,Portland Trail Blazers,125,Denver Nuggets,115,False,Portland Trail Blazers,0.6617647058823529,0.4492753623188406,0.6,0.6
