TEAM,PLAYER,AGE,MP,VORP
Oklahoma City Thunder,Cameron Payne,21,12.2,0.2
Oklahoma City Thunder,Andre Roberson,24,22.2,1.0
Oklahoma City Thunder,Kyle Singler,27,14.4,-0.3
Oklahoma City Thunder,Dion Waiters,24,27.6,-0.4
Oklahoma City Thunder,Russell Westbrook,27,34.4,6.8
Orlando Magic,Keith Appling,23,5.4,-0.1
Orlando Magic,Dewayne Dedmon,26,12.2,0.2
Orlando Magic,Evan Fournier,23,32.5,1.1
Orlando Magic,Aaron Gordon,20,23.9,1.4
Orlando Magic,Mario Hezonja,20,17.9,-0.4
Orlando Magic,Devyn Marble,23,8.9,-0.3
Orlando Magic,Shabazz Napier,24,10.9,-0.2
Orlando Magic,Andrew Nicholson,26,14.7,0.2
Orlando Magic,Victor Oladipo,23,33.0,2.3
Orlando Magic,Elfrid Payton,21,29.4,0.4
Orlando Magic,Jason Smith,29,15.5,-0.1
Orlando Magic,Nikola Vučević,25,31.3,2.0
Orlando Magic,C.J. Watson,31,19.9,-0.2
Philadelphia 76ers,Elton Brand,36,13.2,-0.1
Philadelphia 76ers,Isaiah Canaan,24,25.5,-0.2
Philadelphia 76ers,Robert Covington,25,28.4,0.5
Philadelphia 76ers,Jerami Grant,21,26.8,0.1
Philadelphia 76ers,Richaun Holmes,22,13.8,0.1
Philadelphia 76ers,Carl Landry,32,15.8,0.5
Philadelphia 76ers,Kendall Marshall,24,13.3,-0.5
Philadelphia 76ers,T.J. McConnell,23,19.8,0.3
Philadelphia 76ers,Nerlens Noel,21,29.3,0.9
Philadelphia 76ers,Jahlil Okafor,20,30.0,-0.1
Philadelphia 76ers,Phil Pressey,24,12.1,-0.1
Philadelphia 76ers,Nik Stauskas,22,24.8,-0.8
Philadelphia 76ers,Hollis Thompson,24,28.0,-0.7
Philadelphia 76ers,Sonny Weems,29,11.1,-0.7
Philadelphia 76ers,Christian Wood,20,8.5,0.1
Philadelphia 76ers,Tony Wroten,22,18.0,-0.4
Phoenix Suns,Eric Bledsoe,26,34.2,1.4
Phoenix Suns,Devin Booker,19,27.7,-0.5
Phoenix Suns,Lorenzo Brown,25,7.6,-0.1
Phoenix Suns,Tyson Chandler,33,24.5,0.4
Phoenix Suns,Archie Goodwin,21,19.5,-0.5
Phoenix Suns,Cory Jefferson,25,6.3,-0.1
Phoenix Suns,Brandon Knight,24,36.0,0.6
Phoenix Suns,Alex Len,22,23.3,-1.0
Phoenix Suns,Jon Leuer,26,18.7,0.6
Phoenix Suns,Markieff Morris,26,24.8,-0.2
Phoenix Suns,Ronnie Price,32,19.5,0.1
Phoenix Suns,Mirza Teletović,30,21.3,1.4
Phoenix Suns,P.J. Tucker,30,31.0,0.5
Phoenix Suns,T.J. Warren,22,22.8,0.4
Phoenix Suns,Alan Williams,23,6.8,0.0
Portland Trail Blazers,Cliff Alexander,20,4.5,0.0
Portland Trail Blazers,Al-Farouq Aminu,25,28.5,1.2
