TEAM,PLAYER,AGE,VORP
New Orleans Pelicans,Jahlil Okafor,23,0.1
New Orleans Pelicans,Elfrid Payton,24,0.2
New Orleans Pelicans,Julius Randle,24,2.0
New Orleans Pelicans,Kenrich Williams,24,0.0
New Orleans Pelicans,Dairis Bertāns,29,-0.3
New York Knicks,Kadeem Allen,26,0.3
New York Knicks,Ron Baker,25,-0.2
New York Knicks,Damyean Dotson,24,-0.3
New York Knicks,Billy Garrett,24,-0.1
New York Knicks,Mario Hezonja,23,-0.5
New York Knicks,Isaiah Hicks,24,0.0
New York Knicks,John Jenkins,27,-0.1
New York Knicks,Enes Kanter,26,1.2
New York Knicks,Kevin Knox,19,-2.0
New York Knicks,Luke Kornet,23,0.8
New York Knicks,Emmanuel Mudiay,22,0.0
New York Knicks,Frank Ntilikina,20,-0.9
New York Knicks,Mitchell Robinson,20,1.6
New York Knicks,Lance Thomas,30,-0.7
New York Knicks,Allonzo Trier,23,-0.4
New York Knicks,Noah Vonleh,23,0.6
Oklahoma City Thunder,Tyler Davis,25,0.0
Oklahoma City Thunder,Steven Adams,25,2.1
Oklahoma City Thunder,Deonte Burton,25,-0.1
Oklahoma City Thunder,Hamidou Diallo,20,-0.3
Oklahoma City Thunder,Jawun Evans,22,-0.1
Oklahoma City Thunder,Raymond Felton,34,0.1
Oklahoma City Thunder,Terrance Ferguson,20,-0.9
Oklahoma City Thunder,Paul George,28,6.6
Oklahoma City Thunder,Jerami Grant,24,1.5
Oklahoma City Thunder,Donte Grantham,23,0.0
Oklahoma City Thunder,Markieff Morris,29,-0.2
Oklahoma City Thunder,Abdel Nader,25,-0.2
Oklahoma City Thunder,Nerlens Noel,24,1.1
Oklahoma City Thunder,Patrick Patterson,29,-0.1
Oklahoma City Thunder,Dennis Schröder,25,0.0
Oklahoma City Thunder,Russell Westbrook,30,4.7
Orlando Magic,D.J. Augustin,31,1.4
Orlando Magic,Mo Bamba,20,0.1
Orlando Magic,Khem Birch,26,0.5
Orlando Magic,Isaiah Briscoe,22,-0.4
Orlando Magic,Troy Caupain,23,0.1
Orlando Magic,Evan Fournier,26,-0.3
Orlando Magic,Melvin Frazier,22,-0.1
Orlando Magic,Aaron Gordon,23,1.7
Orlando Magic,Jerian Grant,26,0.1
Orlando Magic,Jonathan Isaac,21,0.8
Orlando Magic,Wesley Iwundu,24,-0.4
Orlando Magic,Amile Jefferson,25,0.1
Orlando Magic,Jarell Martin,24,-0.2
Orlando Magic,Terrence Ross,27,1.5
Orlando Magic,Jonathon Simmons,29,-0.6
Orlando Magic,Nikola Vučević,28,5.5
Philadelphia 76ers,Jonah Bolden,23,0.2
Philadelphia 76ers,Corey Brewer,32,0.1
Philadelphia 76ers,Joel Embiid,24,3.8
Philadelphia 76ers,Markelle Fultz,20,-0.1
Philadelphia 76ers,Haywood Highsmith,22,-0.1
Philadelphia 76ers,Demetrius Jackson,24,0.1
Philadelphia 76ers,Amir Johnson,31,0.0
Philadelphia 76ers,Furkan Korkmaz,21,0.0
Philadelphia 76ers,T.J. McConnell,26,0.4
Philadelphia 76ers,Shake Milton,22,-0.1
Philadelphia 76ers,Justin Patton,21,0.0
Philadelphia 76ers,J.J. Redick,34,1.3
Philadelphia 76ers,Ben Simmons,22,3.8
Philadelphia 76ers,Zhaire Smith,19,-0.1
Phoenix Suns,Quincy Acy,28,-0.2
Phoenix Suns,Trevor Ariza,33,0.4
