unique_game_id,DATE,Home Team,Away Team,HOME_PRIOR_WIN_V_OPP,AWAY_PRIOR_WIN_V_OPP,HOME_IP_AVAIL,AWAY_IP_AVAIL,Home Odds Open,Home Odds Close,Away Odds Open,Away Odds Close,Home Relative Age Diff,Home All Stars,Away All Stars,Away Underdog,Underdog Win,Home FG,Home FGA,Home FG%,Home 3P,Home 3PA,Home 3P%,Home FT,Home FTA,Home FT%,Home ORB,Home DRB,Home TRB,Home AST,Home STL,Home BLK,Home TOV,Home PF,Home PTS,Home TS%,Home eFG%,Home 3PAr,Home FTr,Home ORB%,Home DRB%,Home TRB%,Home AST%,Home STL%,Home BLK%,Home TOV%,Home ORtg,Home DRtg,Away FG,Away FGA,Away FG%,Away 3P,Away 3PA,Away 3P%,Away FT,Away FTA,Away FT%,Away ORB,Away DRB,Away TRB,Away AST,Away STL,Away BLK,Away TOV,Away PF,Away PTS,Away TS%,Away eFG%,Away 3PAr,Away FTr,Away ORB%,Away DRB%,Away TRB%,Away AST%,Away STL%,Away BLK%,Away TOV%,Away ORtg,Away DRtg,HOME_CUM_WIN_PCT,AWAY_CUM_WIN_PCT,HOME_ROLL_WIN_PCT,AWAY_ROLL_WIN_PCT
2008-12-12_Los Angeles Lakers_Sacramento Kings,2008-12-12,Los Angeles Lakers,Sacramento Kings,1.0,1.0,1.0,0.5714285714285714,,1.01,,16.0,1.5,2.0,0.0,1.0,0.0,37.8,77.4,0.49139999999999995,7.6,19.0,0.40540000000000004,25.0,32.0,0.7844,12.2,30.6,42.8,24.8,8.4,4.8,17.2,20.8,108.2,0.5936,0.5404000000000001,0.24300000000000002,0.4192,30.380000000000003,69.08000000000001,50.36,65.78,8.820000000000002,7.140000000000001,15.8,114.05999999999999,109.81999999999998,35.4,88.2,0.4056,4.2,16.8,0.23900000000000002,17.8,23.0,0.7811999999999999,14.4,30.2,44.6,18.8,7.0,4.0,15.0,24.8,92.8,0.476,0.43000000000000005,0.192,0.2628,28.639999999999997,73.3,49.519999999999996,52.52,7.24,6.26,13.260000000000002,96.72,112.42,0.8571428571428571,0.2727272727272727,0.8,0.2
2008-12-12_Minnesota Timberwolves_San Antonio Spurs,2008-12-12,Minnesota Timberwolves,San Antonio Spurs,0.0,1.0,1.0,1.0,3.4,4.3,1.31,1.22,-3.0,0.0,2.0,0.0,0.0,33.4,80.4,0.4149999999999999,2.8,12.6,0.2254,22.0,29.8,0.7642,14.2,25.6,39.8,17.6,7.2,4.8,14.4,23.0,91.6,0.49060000000000004,0.4324,0.1572,0.3766,32.1,72.66,50.04,53.260000000000005,7.88,8.78,13.4,100.76,117.93999999999998,40.0,83.4,0.476,9.4,24.2,0.39160000000000006,17.8,22.4,0.7969999999999999,10.8,35.6,46.4,25.0,4.4,4.2,12.4,19.4,107.2,0.5711999999999999,0.5324000000000001,0.2928,0.2676,27.419999999999998,81.94000000000001,55.54,61.92,4.66,6.4799999999999995,12.020000000000001,114.74000000000001,103.64000000000001,0.19047619047619047,0.6190476190476191,0.0,0.8
2008-12-12_Portland Trail Blazers_Los Angeles Clippers,2008-12-12,Portland Trail Blazers,Los Angeles Clippers,0.0,0.0,0.8571428571428571,0.8571428571428571,,1.2,,4.55,-2.0,1.0,0.0,1.0,1.0,35.2,76.2,0.4614,6.2,19.0,0.3192,17.4,22.2,0.783,12.6,28.2,40.8,17.8,4.2,4.6,12.4,20.6,94.0,0.5452,0.501,0.24699999999999997,0.29400000000000004,32.239999999999995,76.14,53.78000000000001,49.67999999999999,5.0600000000000005,8.1,12.62,111.92,116.24000000000001,38.0,85.0,0.449,5.0,15.0,0.34140000000000004,13.0,17.4,0.736,12.6,31.2,43.8,20.0,6.2,7.8,14.4,21.2,94.0,0.5094000000000001,0.4788,0.179,0.21059999999999998,26.880000000000003,75.82000000000001,50.06,52.879999999999995,6.739999999999999,13.12,13.559999999999999,102.42,103.43999999999998,0.625,0.19047619047619047,0.4,0.2
2008-12-13_Dallas Mavericks_Oklahoma City Thunder,2008-12-13,Dallas Mavericks,Oklahoma City Thunder,0.0,0.0,0.7142857142857143,0.5714285714285714,,1.05,,10.0,5.0,2.0,1.0,1.0,0.0,41.6,86.4,0.48020000000000007,7.0,20.0,0.34459999999999996,16.4,20.8,0.797,12.0,33.2,45.2,23.6,6.4,4.0,11.8,17.0,106.6,0.5566000000000001,0.5208,0.231,0.2392,28.140000000000004,77.4,52.760000000000005,56.92,6.960000000000001,5.92,10.84,113.38,109.38000000000002,37.0,79.6,0.47040000000000004,5.4,12.6,0.4546,18.4,25.8,0.702,10.2,29.4,39.6,23.2,6.6,6.2,16.8,24.6,97.8,0.5424,0.5048,0.1544,0.33440000000000003,24.020000000000003,70.88,47.98,62.61999999999999,6.960000000000001,9.48,15.620000000000001,103.7,111.46,0.5714285714285714,0.08695652173913042,0.8,0.0
2008-12-13_Denver Nuggets_Golden State Warriors,2008-12-13,Denver Nuggets,Golden State Warriors,0.0,1.0,1.0,0.8571428571428571,,1.03,,12.0,5.0,1.0,0.0,1.0,0.0,40.4,79.8,0.5056,8.8,19.2,0.45699999999999996,22.6,30.6,0.7318,9.8,30.8,40.6,24.0,9.2,9.8,13.4,21.6,112.2,0.6004,0.5606000000000001,0.24059999999999998,0.38280000000000003,24.94,67.52,48.019999999999996,58.94,9.780000000000001,14.7,12.56,119.42,103.96,40.6,88.4,0.46240000000000003,4.8,16.8,0.29159999999999997,21.8,28.6,0.7541999999999999,12.6,31.2,43.8,19.0,7.8,6.2,13.6,22.0,107.8,0.5367999999999999,0.4902,0.1884,0.32839999999999997,25.959999999999997,69.84,47.620000000000005,46.22,7.76,8.88,11.920000000000002,108.34,115.25999999999999,0.6818181818181818,0.3043478260869565,0.8,0.4
2008-12-13_Philadelphia 76ers_Washington Wizards,2008-12-13,Philadelphia 76ers,Washington Wizards,0.0,0.0,0.7142857142857143,0.7142857142857143,,1.45,,2.75,0.0,1.0,0.0,1.0,0.0,33.4,76.8,0.4338,3.2,13.8,0.215,19.4,25.2,0.7544000000000001,12.0,27.8,39.8,17.2,7.4,4.0,13.4,21.6,89.4,0.5074,0.4542,0.17959999999999998,0.3288,28.76,71.62,49.39999999999999,51.660000000000004,8.52,6.780000000000001,13.3,103.22,112.78,38.0,78.2,0.4854,5.8,17.4,0.3282,18.4,22.6,0.8039999999999999,10.0,26.8,36.8,22.8,6.8,5.2,14.4,22.0,100.2,0.5686,0.5216000000000001,0.2224,0.2918,26.3,74.03999999999999,49.64,59.5,7.540000000000001,8.52,13.88,111.7,119.04,0.39130434782608703,0.2,0.2,0.2
2008-12-13_Utah Jazz_Orlando Magic,2008-12-13,Utah Jazz,Orlando Magic,0.0,0.0,0.7142857142857143,0.7142857142857143,,1.42,,2.9,-1.0,1.0,2.0,1.0,1.0,36.8,79.0,0.46320000000000006,4.6,14.2,0.3236,22.4,28.8,0.765,11.0,30.0,41.0,24.8,9.8,5.0,16.0,22.6,100.6,0.5492,0.4922000000000001,0.17980000000000002,0.3792,25.919999999999998,70.02000000000001,47.879999999999995,67.82000000000001,10.360000000000001,7.82,14.84,106.82000000000001,100.24,37.2,77.4,0.484,12.0,26.2,0.4588,16.4,23.2,0.7051999999999999,6.8,30.6,37.4,21.2,7.6,5.4,13.8,18.2,102.8,0.5892,0.5618,0.33819999999999995,0.3054,16.82,69.17999999999999,44.879999999999995,57.1,8.319999999999999,7.06,13.62,112.14000000000001,106.25999999999999,0.625,0.7391304347826086,0.6,0.8
2008-12-14_Los Angeles Lakers_Minnesota Timberwolves,2008-12-14,Los Angeles Lakers,Minnesota Timberwolves,0.0,0.0,1.0,1.0,,1.03,,12.0,2.0,2.0,0.0,1.0,0.0,37.6,79.4,0.47519999999999996,7.8,19.4,0.4064,24.8,33.6,0.7414,12.4,31.4,43.8,24.6,8.4,4.8,16.2,22.0,107.8,0.5734,0.5244000000000001,0.24359999999999998,0.42960000000000004,29.96,70.9,50.66,65.58,8.720000000000002,7.359999999999999,14.660000000000002,112.1,108.61999999999998,33.4,80.6,0.414,2.8,12.0,0.2476,21.4,29.6,0.7398,13.6,26.6,40.2,17.8,6.8,4.6,13.8,22.6,91.0,0.4868,0.4314,0.15020000000000003,0.374,30.119999999999997,69.48,48.220000000000006,53.8,7.44,8.08,12.88,100.28,117.72,0.8636363636363636,0.18181818181818185,0.8,0.0
2008-12-14_San Antonio Spurs_Oklahoma City Thunder,2008-12-14,San Antonio Spurs,Oklahoma City Thunder,0.0,0.0,1.0,0.7142857142857143,,1.02,,14.5,5.0,2.0,1.0,1.0,0.0,41.8,85.0,0.4908,9.8,23.0,0.4304,18.0,23.0,0.7846,11.2,36.4,47.6,26.2,4.4,6.4,11.0,20.0,111.4,0.5848,0.5488000000000001,0.2708,0.2696,28.159999999999997,79.8,55.339999999999996,62.220000000000006,4.64,9.08,10.52,119.17999999999999,102.54,37.8,83.8,0.4534000000000001,4.6,12.8,0.3774,18.0,23.6,0.7615999999999999,12.4,31.2,43.6,21.6,7.0,5.6,16.2,23.2,98.2,0.5234,0.4806,0.1486,0.2886,27.7,72.96,50.260000000000005,57.279999999999994,7.38,8.580000000000002,14.62,103.6,110.9,0.6363636363636364,0.08333333333333333,1.0,0.0
2008-12-15_Atlanta Hawks_Charlotte Hornets,2008-12-15,Atlanta Hawks,Charlotte Hornets,1.0,0.0,1.0,0.8571428571428571,1.18,1.22,4.84,4.34,-1.5,0.0,1.0,1.0,0.0,32.4,75.2,0.4332,7.0,21.2,0.33020000000000005,19.2,25.0,0.7634000000000001,9.6,30.2,39.8,17.2,7.4,6.6,12.0,18.0,91.0,0.5298,0.4800000000000001,0.285,0.34920000000000007,23.88,68.4,46.64,53.660000000000004,8.440000000000001,10.66,12.120000000000001,105.64000000000001,104.6,32.8,77.4,0.4226,4.6,13.8,0.3136,16.8,23.2,0.7212000000000001,11.8,28.6,40.4,18.2,6.8,4.2,13.6,22.0,87.0,0.496,0.45199999999999996,0.1792,0.3028,28.320000000000004,71.47999999999999,49.48,56.25999999999999,7.82,7.1800000000000015,13.34,100.58,111.94000000000001,0.6086956521739131,0.2916666666666667,0.4,0.0
